Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	01/11/24 	_aarch64_	(4 CPU)

01:13:32        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:13:33        all     25.19      0.00      0.25      1.01      0.00     73.55
01:13:34        all     25.63      0.00      0.25     19.54      0.00     54.57
01:13:35        all     25.44      0.00      0.50     17.63      0.00     56.42
01:13:36        all     25.32      0.00      0.25      1.77      0.00     72.66
01:13:37        all     25.25      0.00      0.76     19.44      0.00     54.55
01:13:38        all     25.51      0.00      0.76      1.01      0.00     72.73
01:13:39        all     25.19      0.00      0.25      1.01      0.00     73.55
01:13:40        all     25.32      0.00      0.51      0.76      0.00     73.42
01:13:41        all     25.51      0.00      0.51      0.76      0.00     73.23
01:13:42        all     25.25      0.00      0.25      1.01      0.00     73.48
Average:        all     25.36      0.00      0.43      6.39      0.00     67.82
