----total-usage---- -dsk/total- ------memory-usage----- -net/total-
usr sys idl wai stl| read  writ| used  free  buf   cach| recv  send
                   |           | 135M  618M   21M  120M|           
  1   0  95   1   0|   0    82k| 134M  618M   21M  120M|1035B 2014B
  1   1  93   3   0|   0    85k| 135M  617M   21M  120M| 822B 2005B
  1   1  96   1   0|   0    75k| 135M  616M   21M  120M| 822B 2005B
  1   1  96   1   0|   0    75k| 135M  616M   21M  120M| 826B 2005B
  1   0  96   1   0|   0    76k| 136M  616M   21M  120M| 854B 2005B
  1   1  96   0   0|   0    74k| 136M  615M   21M  120M| 822B 2005B
  1   1  95   1   0|   0    76k| 136M  615M   21M  120M| 822B 2005B
  1   1  96   1   0|   0    83k| 136M  615M   21M  120M| 822B 2005B
  1   1  96   1   0|   0    72k| 137M  614M   22M  120M| 822B 2005B
  1   1  96   1   0|   0    77k| 137M  614M   22M  120M| 822B 2005B
