Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	01/11/24 	_aarch64_	(4 CPU)

12:12:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:12:13        all      0.51      0.00      0.25      0.51      0.00     98.73
12:12:14        all      0.76      0.00      0.25      0.51      0.00     98.48
12:12:15        all      0.25      0.00      0.51      0.76      0.00     98.48
12:12:16        all      0.51      0.00      0.51      0.51      0.00     98.48
12:12:17        all      0.00      0.00      0.25      0.51      0.00     99.24
12:12:18        all      0.77      0.00      1.02      0.51      0.00     97.70
12:12:19        all      0.51      0.00      1.03      0.51      0.00     97.94
12:12:20        all      0.26      0.00      0.77      0.51      0.00     98.47
12:12:21        all      0.51      0.00      1.03      0.51      0.00     97.95
12:12:22        all      1.03      0.00      0.77      0.51      0.00     97.69
Average:        all      0.51      0.00      0.64      0.54      0.00     98.32
