Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	30/10/24 	_aarch64_	(4 CPU)

23:31:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:31:22        all      0.00      0.00      0.76      1.01      0.00     98.23
23:31:23        all      0.00      0.00      0.25      0.76      0.00     98.99
23:31:24        all      0.26      0.00      0.00      1.02      0.00     98.72
23:31:25        all      0.25      0.00      0.76      0.76      0.00     98.23
23:31:26        all      0.00      0.00      0.00      1.02      0.00     98.98
23:31:27        all      0.77      0.00      0.51      0.77      0.00     97.95
23:31:28        all      0.51      0.00      0.77      1.03      0.00     97.69
23:31:29        all      0.00      0.00      0.26     18.81      0.00     80.93
23:31:30        all      0.51      0.00      1.28      3.32      0.00     94.88
23:31:31        all      0.51      0.00      0.77      1.54      0.00     97.17
Average:        all      0.28      0.00      0.54      2.99      0.00     96.20
