----total-usage---- -dsk/total- ------memory-usage----- -net/total-
usr sys idl wai stl| read  writ| used  free  buf   cach| recv  send
                   |           | 286M  114M   51M  345M|           
 31  29  35   2   0|  38k   70k| 288M  112M   51M  345M| 647B  419B
 30  30  36   1   0|  38k   71k| 294M  105M   51M  346M|  38k   64k
 30  27  39   0   0|  38k   74k| 296M  103M   51M  346M|6564B 8689B
 30  30  36   1   0|  51k   78k| 298M  101M   51M  347M| 504B  279B
 30  30  35   1   0|  38k   71k| 299M   98M   51M  347M|2532B 2640B
 30  30  33   4   0|  38k   83k| 302M   96M   51M  347M|  11k   13k
 50  30  18   0   0|  38k   87k| 309M   87M   51M  348M| 729B  550B
 52  31  13   2   0|  38k   80k| 328M   68M   51M  349M|1180B  675B
 36  30  30   2   0|  26k  108k| 306M   90M   52M  348M|3490B 4785B
 29  25  31  13   0|  38k   98k| 305M   90M   52M  349M| 652B  437B
