Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	07/11/24 	_aarch64_	(4 CPU)

00:15:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:15:42        all     31.89      0.00     29.85      0.51      0.00     37.76
00:15:43        all     30.67      0.00     30.93      0.52      0.00     37.89
00:15:44        all     28.86      0.00     26.33      0.76      0.00     44.05
00:15:45        all     29.85      0.00     25.26      0.77      0.00     44.13
00:15:46        all     29.29      0.00     26.01      0.76      0.00     43.94
00:15:47        all     29.49      0.00     26.92      0.26      0.00     43.33
00:15:48        all     30.23      0.00     32.49      0.76      0.00     36.52
00:15:49        all     30.89      0.00     31.14      0.25      0.00     37.72
00:15:50        all     31.44      0.00     30.93      0.77      0.00     36.86
00:15:51        all     31.87      0.00     30.31      0.52      0.00     37.31
Average:        all     30.44      0.00     29.01      0.59      0.00     39.96
