----total-usage---- -dsk/total- ------memory-usage----- -net/total-
usr sys idl wai stl| read  writ| used  free  buf   cach| recv  send
                   |           | 160M  173M   33M  500M|           
  0   0  95   2   0|   0    85k| 152M  182M   33M  500M| 162B   23B
  0   0  91   6   0|   0    90k| 144M  190M   34M  500M|  58B    0 
  0   1  90   6   0|   0    75k| 144M  190M   34M  500M|  29B    0 
  0   0  96   1   0|   0    72k| 144M  190M   34M  500M| 231B  205B
  0   1  93   4   0|   0    77k| 144M  189M   34M  500M| 204B    0 
  0   0  96   1   0|   0    72k| 144M  189M   34M  500M|   0     0 
  0   0  96   1   0|   0    80k| 144M  189M   34M  500M|  87B    0 
  0   0  96   1   0|   0    72k| 144M  189M   34M  500M|   0     0 
  0   1  96   1   0|   0    78k| 144M  189M   34M  500M| 248B    0 
  0   0  96   1   0|   0    73k| 144M  189M   34M  500M| 231B  205B
