Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	31/10/24 	_aarch64_	(4 CPU)

00:46:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:46:52        all      0.50      0.00      1.01      0.50      0.00     97.98
00:46:53        all      0.25      0.00      0.50      0.76      0.00     98.49
00:46:54        all      0.00      0.00      0.00      0.26      0.00     99.74
00:46:55        all      0.25      0.00      0.76      0.76      0.00     98.24
00:46:56        all      0.51      0.00      0.25      0.76      0.00     98.48
00:46:57        all      0.00      0.00      0.52      0.26      0.00     99.23
00:46:58        all      1.79      0.00      1.53      0.77      0.00     95.92
00:46:59        all      0.26      0.00      0.52      0.77      0.00     98.45
00:47:00        all      0.00      0.00      0.26      1.29      0.00     98.45
00:47:01        all      0.26      0.00      0.52      0.77      0.00     98.45
Average:        all      0.38      0.00      0.59      0.69      0.00     98.34
