Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	04/11/24 	_aarch64_	(4 CPU)

18:46:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:46:54        all      0.25      0.00      1.01      1.01      0.00     97.73
18:46:55        all      0.00      0.00      0.76      0.76      0.00     98.48
18:46:56        all      0.00      0.00      0.25      1.01      0.00     98.73
18:46:57        all      0.76      0.00      0.25      0.51      0.00     98.48
18:46:58        all      0.25      0.00      0.51      1.01      0.00     98.23
18:46:59        all      0.00      0.00      0.77      0.77      0.00     98.46
18:47:00        all      0.52      0.00      0.52      1.03      0.00     97.94
18:47:01        all      0.51      0.00      1.03      1.03      0.00     97.44
18:47:02        all      0.26      0.00      0.77      0.51      0.00     98.46
18:47:03        all      1.02      0.00      1.79      1.02      0.00     96.17
Average:        all      0.36      0.00      0.76      0.87      0.00     98.01
