----total-usage---- -dsk/total- ------memory-usage----- -net/total-
usr sys idl wai stl| read  writ| used  free  buf   cach| recv  send
                   |           | 141M  548M   19M  185M|           
  0   0  94   3   0|   0    88k| 141M  548M   19M  185M|2836B 2561B
  0   0  90   7   0|   0    74k| 140M  548M   19M  185M| 396B  143B
  0   0  93   4   0|   0    74k| 141M  548M   19M  185M| 325B   89B
  0   1  95   1   0|   0    76k| 141M  548M   19M  185M|7519B 8374B
  0   1  96   1   0|   0    74k| 141M  548M   19M  185M|7258B 8525B
  0   0  96   1   0|   0    73k| 142M  547M   20M  185M| 384B  131B
  0   0  96   1   0|   0    78k| 142M  547M   20M  185M|4771B 4471B
  0   0  96   1   0|   0    77k| 142M  547M   20M  185M| 384B  192B
  0   0  92   4   0|   0    74k| 142M  547M   20M  185M| 411B  154B
  0   0  92   5   0|   0    84k| 142M  546M   20M  185M| 435B  191B
