Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	06/11/24 	_aarch64_	(4 CPU)

00:37:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:37:08        all      0.00      0.00      0.50      0.75      0.00     98.74
00:37:09        all      0.00      0.00      0.51      0.76      0.00     98.73
00:37:10        all      0.25      0.00      0.51      0.51      0.00     98.73
00:37:11        all      1.28      0.00      2.82      0.51      0.00     95.38
00:37:12        all      0.50      0.00      0.50      0.76      0.00     98.24
00:37:13        all      0.26      0.00      0.78      0.52      0.00     98.45
00:37:14        all      0.00      0.00      0.51      0.77      0.00     98.72
00:37:15        all      0.51      0.00      0.77      0.51      0.00     98.20
00:37:16        all      0.00      0.00      0.77      0.77      0.00     98.46
00:37:17        all      0.26      0.00      0.26      0.26      0.00     99.22
Average:        all      0.31      0.00      0.79      0.61      0.00     98.29
