----total-usage---- -dsk/total- ------memory-usage----- -net/total-
usr sys idl wai stl| read  writ| used  free  buf   cach| recv  send
                   |           | 162M  555M   21M  154M|           
  8  22  63   3   0| 110k   79k| 160M  556M   21M  154M| 437B    4B
  7  21  61   7   0|  26k   90k| 166M  549M   21M  155M|   0     0 
  6  30  60   1   0|   0    76k| 161M  555M   22M  155M|   0     0 
  6  30  60   1   0|   0    75k| 162M  553M   22M  155M|   0     0 
  5  26  64   2   0|   0    82k| 164M  550M   22M  155M|   0     0 
  5  31  60   1   0|1229B   80k| 164M  551M   22M  155M| 170B  190B
  6  30  60   0   0|   0    79k| 164M  551M   22M  155M| 236B    4B
  5  29  62   1   0|   0    86k| 163M  551M   22M  155M|   0     0 
  6  30  60   0   0| 410B   84k| 166M  549M   22M  155M|  29B    0 
  5  29  62   1   0|   0    83k| 166M  549M   22M  155M|   0     0 
