Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	06/11/24 	_aarch64_	(4 CPU)

22:13:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:13:25        all      8.03      0.00     24.61      0.52      0.00     66.84
22:13:26        all      6.98      0.00     26.87      0.52      0.00     65.63
22:13:27        all      9.23      0.00     23.33      1.03      0.00     66.41
22:13:28        all      7.95      0.00     25.13      1.03      0.00     65.90
22:13:29        all      6.48      0.00     29.27      0.52      0.00     63.73
22:13:30        all      9.18      0.00     23.47      0.77      0.00     66.58
22:13:31        all      8.25      0.00     25.26      0.52      0.00     65.98
22:13:32        all      6.92      0.00     26.15      0.77      0.00     66.15
22:13:33        all      6.79      0.00     26.11      0.78      0.00     66.32
22:13:34        all      9.56      0.00     24.29      0.52      0.00     65.63
Average:        all      7.94      0.00     25.44      0.70      0.00     65.92
