Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	01/11/24 	_aarch64_	(4 CPU)

13:36:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:36:03        all      1.01      0.00      0.76      1.01      0.00     97.22
13:36:04        all      0.25      0.00      0.00      0.76      0.00     98.98
13:36:05        all      0.00      0.00      0.76      1.01      0.00     98.23
13:36:06        all      0.51      0.00      0.26      0.51      0.00     98.72
13:36:07        all      0.25      0.00      0.00      1.01      0.00     98.73
13:36:08        all      1.03      0.00      1.03      0.77      0.00     97.17
13:36:09        all      0.26      0.00      1.28      1.02      0.00     97.44
13:36:10        all      0.78      0.00      0.00      0.78      0.00     98.45
13:36:11        all      0.77      0.00      1.03     10.26      0.00     87.95
13:36:12        all      0.52      0.00      0.26      0.77      0.00     98.45
Average:        all      0.54      0.00      0.54      1.79      0.00     97.14
