Linux 6.6.51+rpt-rpi-v8 (EmbSecTest) 	31/10/24 	_aarch64_	(4 CPU)

01:34:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:34:36        all      0.25      0.00      0.25      0.51      0.00     98.99
01:34:37        all      0.51      0.00      0.25      0.51      0.00     98.73
01:34:38        all      0.25      0.00      0.51      0.51      0.00     98.73
01:34:39        all      0.25      0.00      0.76      0.76      0.00     98.24
01:34:40        all      0.51      0.00      0.25      0.76      0.00     98.48
01:34:41        all      0.51      0.00      0.77      0.26      0.00     98.46
01:34:42        all      0.51      0.00      0.77      1.28      0.00     97.44
01:34:43        all      1.54      0.00      1.54      0.51      0.00     96.40
01:34:44        all      0.78      0.00      0.52      0.78      0.00     97.93
01:34:45        all      0.25      0.00      1.02      0.76      0.00     97.96
Average:        all      0.54      0.00      0.66      0.66      0.00     98.14
